"V1","V2"
-81.4982613405682,36.4313985963562
-81.125145134236,36.4910109335312
-80.6857465738484,36.4125214337363
-76.0275025784544,36.4072781716175
-77.4105635619487,36.422282219781
-76.9947769754215,36.3614455580423
-76.2343457918136,36.401204475616
-76.7044797278606,36.4442303667518
-78.1104264260747,36.396970477879
-80.2342828100297,36.4003356884132
-79.3347651602083,36.3934670792176
-79.770376672427,36.3960041001767
-78.6564706192562,36.3001314528087
-78.9768419572406,36.3887033127254
-78.4112733253774,36.3623375494943
-77.6562775021639,36.253052180325
-76.3146049969281,36.3123656283793
-81.1596306736506,36.2016044680342
-81.6912887038582,36.2248020776395
-76.454609155172,36.2048848907864
-76.6164792555775,36.1489296065795
-81.9214357288069,36.0719818708005
-80.6641055728658,36.1547863367405
-78.286997419733,36.077632905221
-80.2533287750292,36.1256474885401
-79.7828021357925,36.0729154356419
-79.3979290495872,36.037657253343
-76.9848075167423,36.0619038886469
-79.1217356313146,36.053651294453
-78.8780552286933,36.0287136528156
-77.98667018047,35.9623280601898
-82.163329429249,36.0059582589224
-77.5981879411274,35.907218684138
-81.5436583134805,35.9470662742567
-82.3077115737198,35.8922021793247
-77.1076631090012,35.8363536435782
-78.6527671016419,35.7844774252124
-82.7053173663376,35.8532279626224
-80.87107574957,35.8028197451907
-80.5415624382918,35.924966306296
-81.1740075811438,35.9157513462
-80.2082647399313,35.7900068492416
-81.7021644807222,35.7448796654843
-76.582976994112,35.8250455971337
-76.219820608202,35.8095985394999
-82.0449246233085,35.6753322585792
-79.8037306864947,35.705477423658
-79.256617852698,35.6964028273098
-77.922728623798,35.6991431203064
-80.5193267843405,35.6368543717262
-77.3778991466264,35.5891634116414
-81.2138397320056,35.6580128765852
-82.528272656275,35.606833500644
-78.366637500618,35.5134684799378
-82.9810128973367,35.5514865323197
-75.8098213267233,35.7354756200059
-76.8709988682149,35.4959541793728
-83.4897808143327,35.4806628735813
-77.6788921284208,35.4822965342183
-79.1737124837449,35.4710582015788
-81.9178744566797,35.3987339265737
-78.0072027679554,35.3573654321241
-78.87091409027,35.3665726848519
-81.549488693972,35.3295958078738
-81.220720500896,35.4805882012346
-83.1394139330117,35.2825648248757
-79.478387720962,35.3062133542765
-80.8293663392059,35.2449189460122
-80.5508679079425,35.3848945591043
-79.9028253985124,35.3272092522295
-80.249222102937,35.3139258611015
-82.476268251019,35.3347007588276
-83.8295912666699,35.3450565072723
-77.6454917231349,35.2328380464792
-82.7951594591021,35.1997037938062
-81.1752147827476,35.2923483436977
-82.1702723838092,35.2756799990313
-83.4223172579017,35.145109803023
-78.369926908171,34.9867426154308
-76.7687820340011,35.1356449109963
-84.0597597853139,35.131067104959
-78.8265411325408,35.043805142329
-77.3563371474588,35.0185403541727
-80.5313425301742,34.9863133537119
-80.1040695523777,34.9751996312639
-79.235917178946,35.0116785686661
-76.2470358762057,35.5321074487292
-77.9336112587392,34.932462145854
-79.74231435561,35.0014634285342
-83.7472478006525,35.0537648152101
-77.1043439684694,35.1308045813874
-79.4771960380227,34.8394895544462
-77.4429399246917,34.7391010373096
-79.1011141931363,34.6387426322764
-76.6956231529828,34.8197946942102
-78.5601294555772,34.6093242478776
-77.9162810700698,34.526864094201
-78.6549216183844,34.2632278484791
-77.8957762250649,34.2616606706809
-78.2507276364647,34.0766310831796
